Pontificate,Start date,End date,Years and days of Pontificate,Number of days of Pontificate (max),English name,Regnal name (latin),Personal name,Place of birth,Modern-day country of birth,Age at start of papacy,Age at end of papacy,Comments
30 - 64/67,30,64,34 to 37 years,13505,St. Peter,PETRUS,"Simon Peter, Simeon Kephas, Simon The Rock","Bethsaida, Galilea",Israel,n.a,n.a,
64/67(?) - 76/79(?),64,76,12 years,4380,St. Linus,LINUS,Linus,Tuscia (Central Tuscany),Italy,n.a,n.a,
76/79(?) - 88,76,92,12 years or 9 years,4380,St. Anacletus (Cletus) ,ANACLETUS,Anacletus,Probably Greece,Greece,n.a,n.a,
88/92 - 97,88,97,,?,St. Clement I,CLEMENS,Clement,Rome,Italy,n.a,n.a,
97/99 - 105/107,97,105,8 years,2920,St. Evaristus (Aristus),EVARISTUS,Aristus,"Bethlehem, Judea",West Bank,n.a,n.a,
105/107 - 115/116,105,115,10 years or 9 years,3650,St. Alexander I,ALEXANDER,Alexander,Rome,Italy,n.a,n.a,
115/116 - 125,115,125,20 years or 19 years,7300,St. Sixtus I,XYSTUS,n.a,Rome or Greece,Greece,n.a,n.a,
125 - 136/138,125,136,11 years or 13 years,4745,St. Telesphorus,TELESPHORUS,n.a,Greece,Greece,n.a,n.a,
136/138 - 140/142,136,140,4 years,1460,St. Hyginus,HYGINUS,n.a,Greece,Greece,n.a,n.a,
140/142 - 155,140,142,15 years or 13 years,5475,St. Pius I,PIUS,n.a,"Aquileia, Friuli, Italy",Italy,n.a,n.a,
155 - 166,155,166,11 years,4015,St. Anicetus,ANICETUS,n.a,"Emesa, Syria",Syria,n.a,n.a,
c.166 - 174/175,166,174,8 years or 9 years,3285,St. Soter ,SOTERIUS,n.a,"Fondi, Latium, Italy",Italy,n.a,n.a,
174/175 - 189,174,189,15 years or 14 years,5475,St. Eleuterus,ELEUTHERIUS,n.a,"Nicopoli, Epyrus",Greece,n.a,n.a,
189 - 198/199,189,198,9 years or 10 years,3650,St. Victor I,VICTOR,n.a,Northern Africa,Africa,n.a,n.a,
199 - 217,199,217,18 years,6570,St. Zephyrinus (Zephyrin),ZEPHYRINUS,n.a,Rome,Italy,n.a,n.a,
c.217 - 222/223,217,222,5 years or 6 years,2190,St. Callixtus I,CALLISTUS,n.a,Spain,Spain,n.a,n.a,
222/223 - 230,222,230,8 years or 7 years,2920,St. Urban I,URBANUS,n.a,Rome,Italy,n.a,n.a,
21 July 230 - 28 September 235,230,235,5 years,1825,St. Pontian,PONTIANUS,n.a,Rome,Italy,n.a,n.a,First pope with firm dates of office
21 November 235 - 3 January 236,235,236,44 days,44,St. Anterus,ANTERUS,n.a,Greece,Greece,n.a,n.a,
10 January 236 - 20 January 250,236,250,14 years,5110,St. Fabian,FABIANUS,n.a,Rome,Italy,n.a,n.a,
6/11 March 251 - June 253,251,253,2 years,730,St. Cornelius,CORNELIUS,n.a, ,n.a,n.a,n.a,
25 June 253 - 5 March 254,253,254,256 days,256,St. Lucius I,LUCIUS,n.a,Rome,Italy,n.a,n.a,
12 May 254 - 2 August 257,254,257,3 years,42,St. Stephen I,STEPHANUS,n.a,Rome,Italy,n.a,n.a,
30/31 August 257 - 6 August 258,257,258,340 or 341 days,341,St. Sixtus II,XYSTUS Secundus,&nsp;,Greece,Greece,n.a,n.a,
22 July 259 - 26 December 268,259,268,9 years,3285,St. Dionysius,DIONYSIUS,n.a,Greece,Greece,n.a,n.a,
5 January 269 - 30 December 274,269,274,5 years,1825,St. Felix I,FELIX,n.a,Rome,Italy,n.a,n.a,
4 January 275 - 7 December 283,275,283,8 years,2920,St. Eutychian,EUTYCHIANUS,n.a, ,n.a,n.a,n.a,
17 December 283 - 22 April 296,283,296,12 years,4380,St. Caius,CAIUS,n.a, ,n.a,n.a,n.a,
30 June 296 - 1 April 304,296,308,7 years,2555,St. Marcellinus,MARCELLINUS,n.a, ,n.a,n.a,n.a,
308 - 309,308,309,1 year,365,St. Marcellus I,MARCELLUS,n.a, ,n.a,n.a,n.a,
c.309 - c.310,309,311,1 year,365,St. Eusebius,EUSEBIUS,n.a, ,n.a,n.a,n.a,
2 July 311 - 10 January 314,311,314,2 years,730,St. Miltiades (Melchiades),MILTIADES,n.a,Africa,Africa,n.a,n.a,
31 January 314 - 31 December 335,314,336,21 years,7665,St. Sylvester I ,SILVESTER,n.a,"Sant'Angelo a Scala, Avellino",Italy,n.a,n.a,
18 January 336 - 7 October 336,336,337,263 days,263,St. Mark ,MARCUS,n.a,Rome,Italy,n.a,n.a,
6 February 337 - 12 April 352,337,352,15 years,5475,St. Julius I,IULIUS,&nbs;,Rome,Italy,n.a,n.a,
17 May 352 - 24 September 366,352,366,14 years,5110,Liberius ,LIBERIUS,n.a,&nsp;,n.a,n.a,n.a,"Earliest Pope not yet canonized by the Roman Church. Revered as a saint in Eastern Christianity, with a feast day of 27 August."
1 October 366 - 11 December 384,366,384,18 years,6570,St. Damasus I ,DAMASUS,n.a,"Idanha-a-Velha, Portugal",Portugal,n.a,n.a,
11 December 384 - 26 November 399,384,399,14 years,5110,St. Siricius,SIRICIUS,n.a,&nsp;,n.a,n.a,n.a,
27 November 399 - 19 December 401,399,401,2 years,730,St. Anastasius I,ANASTASIUS,n.a, ,n.a,n.a,n.a,
